MountedCourseId,EnrollmentOption,Level,Semester,AcademicYear,ProgramId,AssignedBy,Date,CourseName,CourseCode,AssignedTo,Specialization,Category,Scoring,Credit,State,Deleted
f4d661ba-c582-4781-bfa0-e6b9ec6b97f6,REGULAR,100,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ENGINEERING TECHNOLOGY,MECH 151,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
6dbb9a0b-ef57-4536-8e8a-0bb297031a5e,REGULAR,100,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INTRODUCTION TO COMPUTER AIDED DESIGN I,MECH 161,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
59ceca04-8c6a-421d-8056-11e82da1d6f6,REGULAR,100,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INFORMATION LITERACY AND COMPUTER TECHNOLOGY,UENR 103,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
3cf06f0e-4e06-463e-aba1-e98337485c27,REGULAR,100,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ENGINEERING MATHEMATICS I,MATH 109,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
adad49c0-edbe-45e4-87d8-50592e0bf454,REGULAR,100,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,APPLIED ELECTRICITY,ELNG 103,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
8f981ff9-a3d2-4073-a657-883d88c91e1b,REGULAR,100,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INTRO. TO FRENCH I,UENR 105,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
b10b66e8-d67c-458f-b3fb-24ff5f0d56af,REGULAR,100,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ACADEMIC WRITING AND COMMUNICATION SKILLS,UENR 101,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
98fdf41f-dde1-4caf-95d2-76ce4c77cb20,REGULAR,100,SEMESTER 1,2020/2021,80,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INTRO. TO ENVIRONMENTAL STUDIES,SENG 101,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
d1368a76-092c-4d62-9197-cf6aacd547dd,REGULAR,100,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ACADEMIC WRITING AND COMMUNICATION SKILLS,UENR 101,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
a5d07438-731d-4488-874a-26faf3f9f2a4,REGULAR,100,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INTRO. TO ESSAY WRITING I,ULLF 153,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
6acc0844-2ddb-40f2-885d-91c7a231c562,REGULAR,100,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,MORALITY AND SOCIAL VALUES IN AFRICA,UENR 115,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
6604f9e0-31c3-4126-bb69-fc1259141c46,REGULAR,100,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,QUANTITATIVE LITERACY,UENR 100,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
c4f88e0f-fbe6-465b-b2fc-7bb6bf39806c,REGULAR,100,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ORAL EXPRESSION I,ULLF 115,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,4,0,FALSE
fa642802-b5f5-4d29-adeb-9a7883304967,REGULAR,100,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,GRAMMAR I,ULLF 117,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
4318bdf1-8032-4f73-a08b-784f0311acf7,REGULAR,100,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,LISTENING COMPREHENSION I,ULLF 110,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
984ff9bf-1a59-42c3-a518-eee22d29bc48,REGULAR,100,SEMESTER 1,2020/2021,90,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,INFORMATION LITERACY AND COMPUTER TECHNOLOGY,UENR 103,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
3fe16634-7dad-4ae5-a3d9-12b7662066dd,REGULAR,200,SEMESTER 2,2019/2020,106,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,MICROBIOLOGY II (PRACTICALS),UMLS 204,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,1,0,FALSE
3f2cd795-f3cb-4cd5-a234-6261f2dd1647,REGULAR,200,SEMESTER 2,2019/2020,106,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,HISTOTECHNOLOGY I (PRACTICALS),UMLS 214,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,1,0,FALSE
aac9a61a-54ad-46c7-99eb-d59e22aea675,REGULAR,200,SEMESTER 2,2019/2020,106,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,"SCIENCE, TECHNOLOGY , SOCIETY",UENR 202,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
d12baf71-7c04-4e17-afea-5a642368ac3a,REGULAR,200,SEMESTER 2,2019/2020,106,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,HISTOTECHNOLOGY I,UMLS 212,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
0bb06589-7995-4eea-98c7-cd9aecac160d,REGULAR,200,SEMESTER 2,2019/2020,106,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,HAEMATOLOGY II (PRACTICALS),UMLS 208,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,1,0,FALSE
cf6f0e3d-6126-48a7-9b53-f33cb9f43ea3,REGULAR,200,SEMESTER 2,2019/2020,106,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,HUMAN ANATOMY II,UMLS 228,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
