CourseId,Code,CourseName,Credit,DepartmentId,State
284f983f-f3bd-4ed8-868c-f4a04d3505f8,DEEE 207,"ELECTRICAL POWER GENERATION AND SUPPLY ",3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
144d1dc5-7a51-4a65-bf17-b60cb9da18f2,DEEE 209,DC MACHINES,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
b75c4fb7-deee-4493-bdcd-2f60c77ab14e,DEEE 205,ELECTRICAL SUBSTATION AND PROTECTION,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
ca4f1785-9fe3-47af-89f1-4019ed31e7ec,DCEE203,ELECTRONIC CIRCUIT DESIGN,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
059b8d22-c4af-4e65-b5aa-434dc46a1757,DCEE 201,COMPUTER NETWORKING,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
c1810413-1092-4656-85ea-248af7afcc5b,CIVL 411,STRUCTURAL ENGINEERING,3,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
a8b8462e-6927-4d58-a329-94522a0eac71,CIVL 413,SYSTEMS ENGINEERING I,3,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
af24b237-5788-4401-a282-10e929184b18,CIVL 415,WATER & ENVIRONMENTAL POLICY,3,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
049ba29f-313a-4761-8dad-f557aeadd4f7,CIVL 417,GEOTECHNICAL ENGINEERING,3,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
cd28db0e-09d0-4722-ba5d-edc1c8349228,CIVL 419,HIGHWAY ENGINEERING,3,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
567c7d71-0bb1-49c7-82ed-6fc84a49c9e4,CIVL 401,ENGINEERING ECONOMY AND ENTREPRENEURSHIP,2,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
754de112-2795-4a03-8816-cbc8494aa391,CIVL 403,ENGINEERING ETHICS,1,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
f700fc59-7f8f-4c5a-870f-eb52f5ba47eb,CIVL 405,GIS & REMOTE SENSING,3,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
0f27f771-0cd1-4f20-8ca8-6d962836b37a,CIVL 407,FINAL YEAR DESIGN PROJECT,3,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
a7c106d3-cde0-41bd-aa7f-450e2d363e6e,CIVL 409,INDUSTRIAL ATTACHMENT,2,9008f136-79dd-4c9a-9cd6-60146c3e4b60,0
ce82adf4-adf5-4e4e-a2bf-d56a4ae52c5f,AGRB 400,RESEARCH PROJECT,3,2b6d6a25-74e1-47dd-afa2-003b0aa16a8d,0
a50ce11e-02c7-42b5-b24c-bd327aa17eca,RENG 161,INTRODUCTION TO ENERGY CONVERSION SYSTEM,2,68cad935-7226-4812-8bda-5e9d1730fc62,0
8e3712fb-cb1e-4867-8ed5-c9f42c04f05d,PLSS 401,RESILIENT CITIES AND COMMUNITIES,3,b8336527-c217-40db-8d99-efe216dca817,0
3c28d8ac-e3de-4d19-b11c-85adc8fbdf69,PLSS 403,ENVIRONMENTAL AND SOCIAL IMPACT ASSESSMENT AND AUDITING,3,b8336527-c217-40db-8d99-efe216dca817,0
5ed751c8-4bfc-4f11-8ef7-df786ba67aba,PLSS 405,ACCOUNTING AND BUDGETING FOR PLANNERS,3,b8336527-c217-40db-8d99-efe216dca817,0
94aa3fe8-9f18-437b-b8b5-1b0990799ac2,PLSS 407,CONTEMPORARY URBAN PLANNING AND MANAGEMENT,3,b8336527-c217-40db-8d99-efe216dca817,0
2573e1de-ee52-4efb-90a8-f952c32c8340,PLSS 409,ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT,2,b8336527-c217-40db-8d99-efe216dca817,0
d40ba079-23b5-4b94-b686-70fb9b9db8c0,PLSS 411,PLANNING AND SUSTAINABILITY WORKSHOP V,4,b8336527-c217-40db-8d99-efe216dca817,0
4266d38c-3a1d-48da-9aed-018abff0a02a,RENG 172,ENERGY PROJECT II: MATERIAL USE IN THE PRODUCTION OF ENERGY CONVERSION DEVICES,3,68cad935-7226-4812-8bda-5e9d1730fc62,0
824a7d50-1f5b-416b-bed5-9fb12f0f9fc9,UMLS 106,GENERAL PATHOLOGY,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
d79661b9-dd21-4a76-9983-d233e093dc11,BIOL 402,AQUATIC ECOLOGY AND FISHERIES,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
80a525b9-8e48-4f71-8165-75bf4c0a05e8,BIOL 404,ENVIRONMENTAL PHYSIOLOGY,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
b4af21d7-9750-40c1-83fe-596f877b66ef,BIOL 406,BIODIVERSITY UTILIZATION AND CONSERVATION,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
96cfdc28-9a1a-4dd3-b312-8a9f37347930,BIOL 408,PARASITOLOGY,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
14791e2a-dcb9-495c-a042-4518ae7daa40,BIOL 412,CURRENT DEVELOPMENTS IN BIOLOGY,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
b5bfc08b-9e13-4d11-8719-cf5c7481485b,BIOL 414,RESEARCH PROJECT II,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
50e22b37-3f8f-48b0-958f-7f25d65612e4,UMLS 224,PHARMACOLOGY II,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
a0bd881b-2ed8-4b26-90c2-10598d185628,UMLS 324,INDUSTRIAL ATTACHMENT,6,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
82833ea6-9e74-40fc-8063-1339bc372715,UMLS 402,HISTOTECHNOLOGY V,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
eb8f1dc7-5312-4896-b80e-655c4f4b42c7,UMLS 404,HISTOTECHNOLOGY V PRACTICAL,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
4ae95918-4592-4092-8f03-6e7d922882bb,UMLS 406,MICROBIOLOGY V (MYCOLOGY),2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
045c8fb0-cd4e-409a-a773-ac9c575e1705,UMLS 408,MICROBIOLOGY V PRACTICAL,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
8472a400-6df6-48de-ad8e-123fe5a10a99,UMLS 412,CHEMICAL PATHOLOGY IV,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
6b68b48f-615e-425a-a149-edc40f424149,UMLS 414,CHEMICAL PATHOLOGY IV PRACTICAL,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
924bdd2d-9c3f-4cc8-a084-336f783302f4,UMLS 305,HISTOPATHOLOGY II,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
93cf3db0-6673-4201-b4f8-7e3793bf26ec,UMLS 306,HISTOTECHNOLOGY III,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
1549b0e5-de7d-479d-b267-9d4de99088ec,UMLS 308,HISTOTECHNOLOGY III PRACTICAL,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
62f58dbb-5b4e-4f87-b72b-c0d794c37bad,UMLS 309,CHEMICAL PATHOLOGY I,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
5eba5c53-eb26-4113-aa71-e75cf7930712,UMLS 311,BIOSTATISTICS,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
0e67ebce-b846-46b7-ac76-6be72172162b,UMLS 312,MICROBIOLOGY IV,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
b1fc324b-ff3a-46b9-ac59-b468a5e46d46,UMLS 314,MICROBIOLOGY IV PRACTICAL,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
57a5d08a-d7b4-4197-baab-338b3380e72f,UMLS 316,CHEMICAL PATHOLOGY II,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
c2130fdb-c225-42d3-91d6-f04fb3a0cffd,UMLS 318,CHEMICAL PATHOLOGY II PRACTICAL,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
d15e2d59-d8f1-4afb-a6f8-24e64e654270,UMLS 322,IMMUNODIAGNOSTIC TECHNIQUES,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
7bd1e1c1-b1bd-4d03-a7b5-3450033edb10,UMLS 326,CYTOTECHNOLOGY,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
7f758795-773a-446a-b679-05fcc1c84716,UMLS 328,CYTOTECHNOLOGY PRACTICAL,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
aa6c44e9-a40d-461b-8da3-77ed2dac194b,UMLS 341,HAEMATOLOGY III (PRACTICAL),1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
2e56684f-61c2-49a7-9671-62a751d4e5e7,DEEE 210,DESIGN PROJECT II,4,e622dee5-3782-41e1-a27d-851698d9b6dd,0
57eb2d1e-5884-4fb7-8463-32db0b009c91,DEEE 212,ENTREPRENEURSHIP AND MANAGEMENT,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
e7e0742a-9950-4204-92de-4888c46a1bff,DCEE 204,EMBEDDED SYSTEMS,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
ff3e6e38-5840-42ee-8e67-a7eeeb571a9b,DEEE 202,SYNCHRONOUS MACHINES,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
004cd21c-10f3-4478-b289-2214b8f52648,DCEE 202,INTRODUCTION  TO TELECOMMUNICATION,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
17d03da9-6345-4901-b935-05e9d2cdb428,DEEE 204,ELECTRICAL BUILDING SERVICES,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
6e8320c2-70a8-4f58-b8c7-dad18ebfa746,DEEE 206,ENERGY AUDITING,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
c44c0b25-3770-456e-9e75-3106495885da,SNAR 200,RESEARCH PROJECT II,2,4523cb65-2c38-4252-bed9-6babbe41b434,0
59224f25-8aa2-4313-bc5f-b680d634477b,DEEE 214,PHOTOVOLTIC SYSTEMS DESIGN,3,e622dee5-3782-41e1-a27d-851698d9b6dd,0
2621486c-4ebe-473e-b3f3-41ea693c23ca,UMLS 343,MICROBIOLOGY III (PRACTICAL),1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
